indicator,sex,age,unit,code
2.2.2 Total fertility rate (number of children per woman aged 15-49),_T,_T,NUMBER,FT_FRATE
2.2.3 Mean age of women at the birth of first child (years),_T,_T,NUMBER,FT_BRTS_AGE
"2.2.4 Age specific fertility rate among younger than 20 year olds (live births per 1,000 women aged 15-19)",_T,Y15T19,NUMBER,FT_FRATE
2.3.1 Number of legally induced abortions,_T,_T,NUMBER,FT_ABRS
2.3.2 Abortion rate (legally induced abortions per 100 live births),_T,_T,PCNT,FT_ABRT
"2.3.3 Abortion rate per population (legally induced abortions per 1,000 women aged 15-49)",_T,_T,NUMBER,FT_POP_ABRT
2.3.4 Number of legally induced abortions among women under age 20,_T,Y0T19,NUMBER,FT_ABRS
2.3.5 Abortion rate among women under age 20 (legally induced abortions among women under age 20 per 100 live births to women of the same age),_T,Y0T19,PCNT,FT_ABRT
"2.3.6 Abortion rate per population among women under age 20 (legally induced abortions among women under age 20 per 1,000 women aged 15-19)",_T,Y15T19,NUMBER,FT_POP_ABRT
3.1.1 Number of children with disabilities in education,_T,_T,NUMBER,EDU_CHLD_DISAB
3.1.2 Number of children with disabilities in education by sex: boys,M,_T,NUMBER,EDU_CHLD_DISAB
3.1.3 Number of children with disabilities in education by sex: girls,F,_T,NUMBER,EDU_CHLD_DISAB
3.1.4 Number of children with disabilities in education by type of school: Ordinary (general) school,_T,_T,NUMBER,EDU_CHLD_DISAB_GENERAL
3.1.5 Number of children with disabilities in education by type of school: special school,_T,_T,NUMBER,EDU_CHLD_DISAB_SPECIAL
3.1.6 Number of children with disabilities in education by ISCED level: ISCED 0,_T,_T,NUMBER,EDU_CHLD_DISAB_L02
3.1.7 Number of children with disabilities in education by ISCED level: ISCED 1,_T,_T,NUMBER,EDU_CHLD_DISAB_L1
3.1.8 Number of children with disabilities in education by ISCED level: ISCED 2,_T,_T,NUMBER,EDU_CHLD_DISAB_L2
3.1.9 Number of children with disabilities in education by ISCED level: ISCED 3,_T,_T,NUMBER,EDU_CHLD_DISAB_L3
4.1.1 Total number of children left without parental care (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE
"4.1.2 Rate of children left without parental care (during the year, per 100,000 average population aged 0-17)",_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_RATE
4.1.3 Children left without parental care by sex: boys (during the year),M,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE
4.1.4 Children left without parental care by sex: girls (during the year),F,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE
4.1.5 Children left without parental care by age: 0-2 year olds (during the year),_T,Y0T2,NUMBER,PT_CHLD_NO_PARENTAL_CARE
4.1.6 Children left without parental care by age: 3-6 year olds (during the year),_T,Y3T6,NUMBER,PT_CHLD_NO_PARENTAL_CARE
4.1.7 Children left without parental care by age: 7-17 year olds (during the year),_T,Y7T17,NUMBER,PT_CHLD_NO_PARENTAL_CARE
4.1.8 Number of children with disabilities left without parental care (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_DISABILITY
4.1.9 Number of children with disabilities left without parental care by sex: boys (during the year),M,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_DISABILITY
4.1.10 Number of children with disabilities left without parental care by sex: girls (during the year),F,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_DISABILITY
4.1.11 Children left without parental care by cause: orphan children (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_ORPHAN
4.1.12 Children left without parental care by cause: deprivation of parental rights (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_PARRIGHTS
4.1.13 Children left without parental care by cause: abandonment or relinquishment by the parents (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_ABANDON
4.1.14 Children left without parental care by cause: parents temporary unable/ not in a position to care for the child (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_UNABLE
4.1.15 Children left without parental care by cause: other (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_OTHER
4.1.16 Children left without parental care placed into care (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_INCARE
4.1.17 Children left without parental care by type of placement: in residential care (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_INRESIDENTIAL
4.1.18 Children left without parental care by type of placement: entered educational institution (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_ININSTITUTE
4.1.19 Children left without parental care by type of placement: entered foster care (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_INFOSTER
4.1.20 Children left without parental care by type of placement: entered guardian care (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_INGUARDIAN
4.1.21 Children left without parental care by type of placement: were adopted (during the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_ADOPTED
4.1.22 Total number of children in formal care (at the end of the year),_T,_T,NUMBER,PT_CHLD_INFORMALCARE
"4.1.23 Rate of children in formal care (at the end of the year, per 100,000 population aged 0-17)",_T,_T,NUMBER,PT_CHLD_INFORMALCARE_RATE
4.2.1 Total number of children in residential care (at the end of the year),_T,_T,NUMBER,PT_CHLD_INRESIDENTIAL
"4.2.2 Rate of children in residential care (at the end of the year, per 100,000 population aged  0-17)",_T,_T,NUMBER,PT_CHLD_INRESIDENTIAL_RATE
4.2.3 Child4en in residential care by sex: boys (at the end of the year),M,_T,NUMBER,PT_CHLD_INRESIDENTIAL
4.2.4 Children in residential care by sex: girls (at the end of the year),F,_T,NUMBER,PT_CHLD_INRESIDENTIAL
4.2.5 Children in residential care by age: 0-2 years olds (at the end of the year),_T,Y0T2,NUMBER,PT_CHLD_INRESIDENTIAL
4.2.6 Children iresidential care by age: 3-6 years olds (at the end of the year),_T,Y3T6,NUMBER,PT_CHLD_INRESIDENTIAL
4.2.7 Children in residential care by age: 7-17 years olds (at the end of the year),_T,Y7T17,NUMBER,PT_CHLD_INRESIDENTIAL
4.2.8 Children in residential care by age: 18 years and older (at the end of the year),_T,Y_GE18,NUMBER,PT_CHLD_INRESIDENTIAL
4.2.9 Number of children with disabilities in public residential care - all types of institutions (at the end of the year),_T,_T,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.10 Children with disabilities in public residential care by sex: boys (at the end of the year),M,_T,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.11 Children with disabilities in public residential care by sex: girls (at the end of the year),F,_T,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.12 Children with disability in public residential care by age: 0-2 years olds (at the end of the year),_T,Y0T2,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.13 Children with disability in public residential care by age: 3-6 years olds (at the end of the year),_T,Y3T6,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.14 Children with disability in public residential care by age: 7-17 years olds (at the end of the year),_T,Y7T17,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.15 Children with disability in public residential care by age: 18 years old and elder (at the end of the year),_T,Y_GE18,NUMBER,PT_CHLD_DISAB_PUBLIC
4.2.16 Number of children without parental care in public residential care (at the end of the year),_T,_T,NUMBER,PT_CHLD_NO_PARENTAL_CARE_PUBLIC
4.2.17 Children without parental care in public residential care by age: 0-2 years olds (at the end of the year),_T,Y0T2,NUMBER,PT_CHLD_NO_PARENTAL_CARE_PUBLIC
4.2.18 Children without parental care in public residential care  by age: 3-6 years olds (at the end of the year),_T,Y3T6,NUMBER,PT_CHLD_NO_PARENTAL_CARE_PUBLIC
4.2.19 Children without parental care in public residential care  by age: 7-17 years olds (at the end of the year),_T,Y7T17,NUMBER,PT_CHLD_NO_PARENTAL_CARE_PUBLIC
4.2.20 Children without parental care in public residential care  by age: 18 years and older (at the end of the year),_T,Y_GE18,NUMBER,PT_CHLD_NO_PARENTAL_CARE_PUBLIC
4.2.21 Number of children in infant homes (at the end of the year),_T,_T,NUMBER,PT_CHLD_ININFANTHOME
"4.2.22 Rate of children in infant homes (at the end of the year, per 100,000 population aged 0-3)",_T,_T,NUMBER,PT_CHLD_ININFANTHOME_RATE
4.2.23 Number of children in general boarding schools - under the full state support (at the end of the year),_T,_T,NUMBER,PT_CHLD_INBOARDING
4.2.24 Number of children in non-public residential care (at the end of the year),_T,_T,NUMBER,PT_CHLD_NONPUBLIC
4.2.25 Children in non-public residential care by sex: boys (at the end of the year),M,_T,NUMBER,PT_CHLD_NONPUBLIC
4.2.26 Children in non-public residential care by sex: girls (at the end of the year),F,_T,NUMBER,PT_CHLD_NONPUBLIC
4.2.27 Children in non-public residential care by age: 0-2 years olds (at the end of the year),_T,Y0T2,NUMBER,PT_CHLD_NONPUBLIC
4.2.28 Children in non-public residential care by age: 3-6 years olds (at the end of the year),_T,Y3T6,NUMBER,PT_CHLD_NONPUBLIC
4.2.29 Children in non-public residential care by age: 7-17 years olds (at the end of the year),_T,Y7T17,NUMBER,PT_CHLD_NONPUBLIC
4.2.30 Children in non-public residential care by age: 18 years and older (at the end of the year),_T,Y_GE18,NUMBER,PT_CHLD_NONPUBLIC
4.2.31 Number of children who left public residential care - including those transferred to another institution (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE
4.2.32 Children who left public residential care by reason: were returned to their parents /reintegrated in the family (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_RETURNED
4.2.33 Children who left public residential care by reason: were placed into family type care (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_INFAMILY
4.2.34 Children who left public residential care by reason: were adopted (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_ADOPTED
4.2.35 Children who left public residential care by reason: started independent life (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_INDEPENDENT
4.2.36 Children who left public residential care by reason: transferred to another insitution (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_TRANSFERED
4.2.37 Children who left public residential care by reason: died (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_DIED
4.2.38 Children who left public residential care by reason: other (during the year),_T,_T,NUMBER,PT_CHLD_LEFTRESCARE_OTHER
4.3.1 Children in care of foster parents or guardians (at the end of the year),_T,_T,NUMBER,PT_CHLD_INCARE_FOSTER
"4.3.2 Rate of children in care of foster parents or guardians (at the end of the year, per 100,000 population aged 0-17)",_T,_T,NUMBER,PT_CHLD_INCARE_FOSTER_RATE
4.3.3 Number of registered foster families (at the end of the year),_T,_T,NUMBER,PT_CHLD_REGISTERED_FORSTER
4.3.4 Total number of children who entered foster care (during the year),_T,_T,NUMBER,PT_CHLD_ENTEREDFOSTER
4.3.5 Children who entered foster care by sex: boys (during the year),M,_T,NUMBER,PT_CHLD_ENTEREDFOSTER
4.3.6 Children who entered foster care by sex: girls (during the year),F,_T,NUMBER,PT_CHLD_ENTEREDFOSTER
4.3.7  Children who entered foster care by age: 0-2 years olds (during the year),_T,Y0T2,NUMBER,PT_CHLD_ENTEREDFOSTER
4.3.8 Children who entered foster care by age: 3-6 years olds (during the year),_T,Y3T6,NUMBER,PT_CHLD_ENTEREDFOSTER
4.3.9 Children who entered foster care by age: 7-17 years olds (during the year),_T,Y7T17,NUMBER,PT_CHLD_ENTEREDFOSTER
4.3.10 Total number of children who left foster care (during the year),_T,_T,NUMBER,PT_CHLD_LEFTFOSTER
4.3.11 Children who left foster care by reason: were returned to their biological parents (during the year),_T,_T,NUMBER,PT_CHLD_LEFTFOSTER_RETURNED
4.3.12 Children who left foster care by reason: entered child care/educational institutions (during the year),_T,_T,NUMBER,PT_CHLD_LEFTFOSTER_EDUINSTITUTION
4.3.13 Children who left foster care by reason for leaving: started independent life (during the year),_T,_T,NUMBER,PT_CHLD_LEFTFOSTER_INDEPENDENT
4.3.14 Children who left foster care by reason: other (during the year),_T,_T,NUMBER,PT_CHLD_LEFTFOSTER_OTHER
4.3.15 Children who left foster care by reason: placed into other foster family (during the year),_T,_T,NUMBER,PT_CHLD_LEFTFOSTER_INFAMILY
4.3.16 Total number of children cared for by foster parents (at the end of the year),_T,_T,NUMBER,PT_CHLD_CARED_BY_FOSTER
"4.3.17 Rate of children in foster parents care (at the end of the year, per 100,000 population aged 0-17)",_T,_T,NUMBER,PT_CHLD_CARED_BY_FOSTER_RATE
4.3.18 Children in foster care by age: 0-2 years old (at the end of the year),_T,Y0T2,NUMBER,PT_CHLD_CARED_BY_FOSTER
4.3.19 Children in foster care by age: 3-6 years old (at the end of the year),_T,Y3T6,NUMBER,PT_CHLD_CARED_BY_FOSTER
4.3.20 Children in foster care by age: 7-17 years old (at the end of the year),_T,Y7T17,NUMBER,PT_CHLD_CARED_BY_FOSTER
4.3.21 Children in foster care by age: 18 years and older (at the end of the year),_T,Y_GE18,NUMBER,PT_CHLD_CARED_BY_FOSTER
4.3.22 Number of children with disabilities in foster care (at the end of the year),_T,_T,NUMBER,PT_CHLD_DISAB_FOSTER
4.3.23 Total number of children who entered guardian care (during the year),_T,_T,NUMBER,PT_CHLD_GUARDIAN
4.3.24 Children who entered guardian care by sex: boys (during the year),M,_T,NUMBER,PT_CHLD_GUARDIAN
4.3.25 Children who entered guardian care by sex: girls (during the year),F,_T,NUMBER,PT_CHLD_GUARDIAN
4.3.26 Children who entered guardian care by age: 0-2 years olds (during the year),_T,Y0T2,NUMBER,PT_CHLD_GUARDIAN
4.3.27 Children who entered guardian care by age: 3-6 years olds (during the year),_T,Y3T6,NUMBER,PT_CHLD_GUARDIAN
4.3.28 Children who entered guardian care by age: 7-17 years olds (during the year),_T,Y7T17,NUMBER,PT_CHLD_GUARDIAN
4.3.29 Total number of children who left guardian care (during the year),_T,_T,NUMBER,PT_CHLD_GUARDIAN_LEFT
4.3.30 Children who left guardian care by reason: returned to their biological parents (during the year),_T,_T,NUMBER,PT_CHLD_GUARDIAN_LEFT_RETURNED
4.3.31 Children who left guardian care by reason: entered child care/educational institutions (during the year),_T,_T,NUMBER,PT_CHLD_GUARDIAN_LEFT_INSTITUTION
4.3.32 Children who left guardian care by reason: started independent life (during the year),_T,_T,NUMBER,PT_CHLD_GUARDIAN_LEFT_INDEPENDET
4.3.33 Children who left guardian care by reason: other (during the year),_T,_T,NUMBER,PT_CHLD_GUARDIAN_LEFT_OTHER
4.3.34 Total number of children cared for by guardians (at the end of the year),_T,_T,NUMBER,PT_CHLD_CARED_GUARDIAN
"4.3.35 Rate of children in guradian care (at the end of the year, per 100,000 population aged 0-17)",_T,_T,NUMBER,PT_CHLD_CARED_GUARDIAN_RATE
4.3.36 Number of children with disabilities in guardian care (at the end of the year),_T,_T,NUMBER,PT_CHLD_DISAB_CARED_GUARDIAN
4.4.1 Total number of adoptions - including intercountry adoptions (during the year),_T,_T,NUMBER,PT_CHLD_ADOPTION
"4.4.2 Gross adoption rate (per 100,000 average population aged  0-3)",_T,_T,NUMBER,PT_CHLD_ADOPTION_RATE
4.4.3 Adopted children by age: 0-2 years old (during the year),_T,Y0T2,NUMBER,PT_CHLD_ADOPTION
4.4.4 Adopted children by age: 3-6 years old (during the year),_T,Y3T6,NUMBER,PT_CHLD_ADOPTION
4.4.5 Adopted children by age: 7-17 years old (during the year),_T,Y7T17,NUMBER,PT_CHLD_ADOPTION
4.4.6 Number of adopted children with disabilities (during the year),_T,_T,NUMBER,PT_CHLD_ADOPTION_DISAB
4.4.7 Total number of intercountry adoptions (during the year),_T,_T,NUMBER,PT_CHLD_ADOPTION_INTERCOUNTRY
"4.4.8 Intercountry adoption rate (per 100,000 average population aged  0-3)",_T,_T,NUMBER,PT_CHLD_ADOPTION_INTERCOUNTRY_RATE
4.4.9 Intercountry adoptions: number of adopted children with disabilities (during the year),_T,_T,NUMBER,PT_CHLD_ADOPTION_INTER_COUNTRY_DISAB
4.4.10 Total number of children available for adoption (at the end of the year),_T,_T,NUMBER,PT_CHLD_ADOPTION_AVAILABLE
4.4.11 Children available for adoption by age: 0-2 years old (at the end of the year),_T,Y0T2,NUMBER,PT_CHLD_ADOPTION_AVAILABLE
4.4.12 Children available for adoption by age: 3-6 years old (at the end of the year),_T,Y3T6,NUMBER,PT_CHLD_ADOPTION_AVAILABLE
4.4.13 Children available for adoption by age: 7-9 years old (at the end of the year),_T,Y7T9,NUMBER,PT_CHLD_ADOPTION_AVAILABLE
4.4.14 Children available for adoption by age: 10-17 years old (at the end of the year),_T,Y10T17,NUMBER,PT_CHLD_ADOPTION_AVAILABLE
4.4.15 Number of children with disabilities available for adoption (at the end of the year),_T,_T,NUMBER,PT_CHLD_ADOPTION_AVAILABLE_DISAB
"5.1.1 Registered total crime rate (per 100,000 average population)",_T,_T,NUMBER,JJ_CRIMERT
5.1.2 Registered number of crimes committed by or with participation of children/juveniles (during the year),_T,_T,NUMBER,JJ_JUV_CRIME
"5.1.3 Registered juvenile crime rate (per 100,000 average population aged 14-17)",_T,Y14T17,NUMBER,JJ_CRIMERT
5.2.1 Total number of registered crimes committed against children (during the year),_T,_T,NUMBER,JJ_CHLD_CRIME
"5.2.2 Registered rate of crimes committed against children (per 100,000 average population aged 0-17)",_T,_T,NUMBER,JJ_CHLD_CRIMERT
5.2.3 Registered crimes committed against children: against boys (during the year),M,_T,NUMBER,JJ_CHLD_CRIME
5.2.4 Registered crimes committed against children: against girls (during the year),F,_T,NUMBER,JJ_CHLD_CRIME
5.2.5 Registered crimes committed against children: victim aged 13 years or younger (during the year),_T,Y0T13,NUMBER,JJ_CHLD_CRIME
5.2.6 Registered crimes committed against children: victim 14-17 years old (during the year),_T,Y14T17,NUMBER,JJ_CHLD_CRIME
5.2.7 Registered crimes committed against children by age of perpetrator: 13 years or younger (during the year),_T,Y0T13,NUMBER,JJ_CHLD_CRIME_PERPETRATOR
5.2.8 Registered crimes committed against children by age of perpetrator: 14-17 years old (during the year),_T,Y14T17,NUMBER,JJ_CHLD_CRIME_PERPETRATOR
5.2.9 Registered crimes committed against children by age of perpetrator: 18 years or older (during the year),_T,Y_GE18,NUMBER,JJ_CHLD_CRIME_PERPETRATOR
5.2.10 Registered crimes committed against children by type: against a person (as % of total crimes committed against children),_T,_T,PCNT,JJ_CHLD_CRIME_PERSON
5.2.11 Registered crimes committed against children by type: property crimes (as % of total crimes committed against children),_T,_T,PCNT,JJ_CHLD_CRIME_PROPERTY
5.2.12 Registered crimes committed against children by type: other crimes (as % of total crimes committed against children),_T,_T,PCNT,JJ_CHLD_CRIME_OTHER
5.3.1 Total number of children reported as being in contact with the police because of their own behavior (during the year),_T,_T,NUMBER,JJ_CHLD_POLICE
5.3.2 Children reported as being in contact with the police by sex: boys (during the year),M,_T,NUMBER,JJ_CHLD_POLICE
5.3.3 Children reported as being in contact with the police by sex: girls (during the year),F,_T,NUMBER,JJ_CHLD_POLICE
5.3.4 Children reported as being in contact with the police by age: 13 years or younger (during the year),_T,Y0T13,NUMBER,JJ_CHLD_POLICE
5.3.5 Children reported as being in contact with the police by age: 14-17 years old (during the year),_T,Y14T17,NUMBER,JJ_CHLD_POLICE
5.4.1 Total number of arrested children (during the year),_T,_T,NUMBER,JJ_CHLD_ARRESTED
5.4.2 Number of arre5ted boys (during the year),M,_T,NUMBER,JJ_CHLD_ARRESTED
5.4.3 Number of arrested girls (during the year),F,_T,NUMBER,JJ_CHLD_ARRESTED
5.5.1 Total number of children charged with an offence - crimes (during the year),_T,_T,NUMBER,JJ_CHLD_OFFENCE
5.5.2 Children charged with an offence (crimes) by sex: boys (during the year),M,_T,NUMBER,JJ_CHLD_OFFENCE
5.5.3 Children charged with an offence (crimes) by sex: girls (during the year),F,_T,NUMBER,JJ_CHLD_OFFENCE
5.5.4 Children charged with an offence (crimes) by type of offence: against a person (as % of total),_T,_T,PCNT,JJ_CHLD_OFFENCE_PERSON
5.5.5 Children charged with an offence (crimes) by type of offence: against a property (as % of total),_T,_T,PCNT,JJ_CHLD_OFFENCE_PROPERTY
5.5.6 Children charged with an offence (crimes) by type of offence: other type (as % of total),_T,_T,PCNT,JJ_CHLD_OFFENCE_OTHER
